Timestamp,Text,ID
2020-11-02 23:34:30,b'1) if biden wins tomorrow_ PLEASE stay safe if you are protesting. something like the charlottesville incident might happen again. pls pls pls if you are lgbtq+_ a poc or a woman_ PLEASE stay safe and watch your back. #Biden2020 #2020Election #2020Elections',1323408172154048518
2020-11-02 23:32:58,b'Dont shoot the messenger with the lyrics tomorrow is the last day GO VOTE!! Beat by me!#jeniferlewis #gyaoav #gyaoav_getyoazzoutandvote  #bidenharris2020 #kamalaharris #biden #biden2020 #harris2020 https://t.co/2GdVSdzqus',1323407785078476800
2020-11-02 23:30:52,b'@NRA Did Clinton take your guns? No\nDid Obama take your guns? No\nWill Biden take your guns? Again_ no\nNO ONE WANTS TO TAKE YOUR GUNS!  \n#GOPBetrayedAmerica #GOPCorruptionOverCountry #GOPHypocrisy #TrumpMeltdown #TrumpIsLosing #TrumpIsALaughingStock #TrumpIsANationalDisgrace #Biden2020',1323407257862766592
2020-11-02 23:30:03,b'Who do you vote for\n Retweet= Donald Trump\nLike= Joe Biden\n#biden2020 #trump2020 #vote2020 #vote',1323407051905748995
2020-11-02 23:30:01,b'Adult Tea has asked several voters one simple question: Why is this one of the most important elections? \n\nAnd_ well be sharing one of their responses each day up until the election. \n\n#election2020 #vote #presidentialelection #Biden #Trump #Debates2020 #Biden2020 #Trump2020 https://t.co/4m4yFBd4rV',1323407042581827589
2020-11-02 23:29:47,b'Keep pushing!\n#Biden2020\n#VoteBlueToEndTheNightmare\n\nJoin me in supporting Joe Biden via @actblue https://t.co/lWaxvQIwYE',1323406985757298688
2020-11-02 23:29:31,b'Me when Biden wins the election. #Biden2020 https://t.co/UwENSd58Hx',1323406917335568385
2020-11-02 23:29:30,b'Repeat after me_\n"BIDEN BLUE COME THROUGH" \nBIDEN BLUE COME THROUGH \nBIDEN BLUE COME THROUGH \nBIDEN BLUE COME THROUGH \n all aboard BidenHarris airlines \n#BidenHarris2020 #Biden2020ToSaveAmerica #Biden2020 #RidenWithBiden2020 \n#2020Election #VoteBiden #VoteBlue2020',1323406914026409986
2020-11-02 23:26:28,b'@THATAllenCovert #HarrisBiden2020#Biden2020 #KamalaHarrisendorsement by Karl Marx\n\npatriotic education #Trump2020This #radicalized_view of American history lacks perspective_ obscures virtues_ ignores or distorts facts + magnifies flaws_ history disfigured https://t.co/gKZyavYZ4a',1323406152017862656
2020-11-02 23:26:19,b'#HarrisBiden2020#Biden2020 #KamalaHarrisendorsement by Karl Marx\n\npatriotic education #Trump2020This #radicalized_view of American history lacks perspective_ obscures virtues_ ignores or distorts facts + magnifies flaws_ history disfigured https://t.co/gKZyavYZ4a https://t.co/4A6TKdGa9S',1323406110120943617
